Id	LotFrontage	LotArea	Street	Neighborhood	YearBuilt	YearRemodAdd	CentralAir	PavedDrive	SaleCondition	SalePrice
1212	152	12134	Pave	Gilbert	1988	2005	Y	Y	Normal	164000
1213	50	9340	Pave	Edwards	1941	1950	Y	N	Normal	113000
1214	NA	10246	Pave	Sawyer	1965	2001	Y	Y	Normal	145000
1215	69	10205	Pave	NAmes	1962	1962	Y	Y	Normal	134500
1216	99	7094	Pave	Sawyer	1966	1966	Y	Y	Normal	125000
1217	68	8930	Pave	Sawyer	1978	1978	Y	Y	Normal	112000
1218	72	8640	Pave	Somerst	2009	2009	Y	Y	Partial	229456
1219	52	6240	Pave	BrkSide	1947	1950	N	N	Normal	80500
1220	21	1680	Pave	BrDale	1971	1971	Y	N	Abnorml	91500
1221	66	7800	Pave	NAmes	1964	1964	Y	Y	Abnorml	115000
1222	55	8250	Pave	Sawyer	1968	1968	Y	Y	Normal	134000
1223	78	10496	Pave	NAmes	1949	1950	Y	Y	Normal	143000
1224	89	10680	Pave	NAmes	1951	1951	N	Y	Normal	137900
1225	60	15384	Pave	Gilbert	2004	2005	Y	Y	Normal	184000
1226	65	10482	Pave	NAmes	1958	1958	Y	Y	Normal	145000
1227	86	14598	Pave	Somerst	2007	2007	Y	Y	Normal	214000
1228	72	8872	Pave	NAmes	1965	2008	Y	Y	Normal	147000
1229	65	8769	Pave	NridgHt	2008	2008	Y	Y	Partial	367294
1230	70	7910	Pave	NAmes	1960	1960	Y	Y	Normal	127000
1231	NA	18890	Pave	Sawyer	1977	1977	Y	N	Normal	190000
1232	70	7728	Pave	NAmes	1962	1962	Y	Y	Normal	132500
1233	70	9842	Pave	NAmes	1962	1962	Y	Y	Normal	101800
1234	NA	12160	Pave	NAmes	1959	1959	Y	Y	Abnorml	142000
1235	55	8525	Pave	SWISU	1911	1950	N	N	Abnorml	130000
1236	96	13132	Pave	Crawfor	1914	1950	Y	N	Normal	138887
1237	36	2628	Pave	NridgHt	2003	2003	Y	Y	Normal	175500
1238	41	12393	Pave	CollgCr	2004	2005	Y	Y	Normal	195000
1239	63	13072	Pave	SawyerW	2005	2005	Y	Y	Abnorml	142500
1240	64	9037	Pave	Timber	2006	2006	Y	Y	Normal	265900
1241	65	8158	Pave	CollgCr	2003	2003	Y	Y	Normal	224900
1242	83	9849	Pave	Somerst	2007	2007	Y	Y	Partial	248328
1243	85	10625	Pave	NWAmes	1974	1974	Y	Y	Family	170000
1244	107	13891	Pave	NridgHt	2006	2006	Y	Y	Partial	465000
1245	NA	11435	Pave	Crawfor	1929	1950	Y	Y	Normal	230000
1246	78	12090	Pave	NWAmes	1984	2003	Y	Y	Abnorml	178000
1247	65	8125	Pave	Somerst	2005	2006	Y	Y	Partial	186500
1248	NA	12328	Pave	Mitchel	1976	1976	Y	Y	Normal	169900
1249	60	9600	Pave	OldTown	1917	1950	N	P	Normal	129500
1250	60	7200	Pave	NAmes	1950	1950	Y	Y	Normal	119000
1251	93	11160	Pave	NAmes	1968	1968	Y	Y	Normal	244000
1252	NA	3136	Pave	NridgHt	2003	2003	Y	Y	Normal	171750
1253	62	9858	Pave	Mitchel	1968	1968	Y	Y	Normal	130000
1254	NA	17542	Pave	Veenker	1974	2003	Y	Y	Normal	294000
1255	60	6931	Pave	Edwards	2003	2004	Y	Y	Normal	165400
1256	52	6240	Pave	BrkSide	1931	1950	Y	Y	Normal	127500
1257	91	14303	Pave	NoRidge	1994	1994	Y	Y	Normal	301500
1258	56	4060	Pave	Edwards	1922	1950	Y	Y	Normal	99900
1259	59	9587	Pave	Gilbert	2005	2005	Y	Y	Normal	190000
1260	65	9750	Pave	NAmes	1969	1969	Y	Y	Normal	151000
1261	NA	24682	Pave	Gilbert	1999	1999	Y	Y	Normal	181000
1262	80	9600	Pave	NAmes	1956	1956	Y	Y	Normal	128900
1263	NA	11250	Pave	ClearCr	1957	1989	Y	Y	Normal	161500
1264	60	13515	Pave	BrkSide	1919	1950	Y	N	Normal	180500
1265	34	4060	Pave	NAmes	1998	1999	Y	Y	Abnorml	181000
1266	35	3735	Pave	Somerst	1999	1999	Y	Y	Normal	183900
1267	60	10120	Pave	OldTown	1910	1950	N	N	Normal	122000
1268	89	13214	Pave	Timber	2008	2009	Y	Y	Normal	378500
1269	NA	14100	Pave	Crawfor	1935	1997	Y	Y	Normal	381000
1270	78	11344	Pave	NAmes	1958	1958	Y	Y	Normal	144000
1271	NA	23595	Pave	ClearCr	1979	1979	Y	Y	Normal	260000
1272	NA	9156	Pave	NWAmes	1968	1968	Y	Y	Normal	185750
1273	NA	13526	Pave	Sawyer	1965	1965	Y	Y	Normal	137000
1274	124	11512	Pave	Edwards	1959	2006	Y	Y	Normal	177000
1275	53	5362	Pave	Crawfor	1910	2003	Y	Y	Normal	139000
1276	95	11345	Pave	NAmes	1948	1950	Y	Y	Normal	137000
1277	NA	12936	Pave	NWAmes	1972	1972	Y	Y	Normal	162000
1278	NA	17871	Pave	NWAmes	1967	1976	Y	Y	Normal	197900
1279	75	9473	Pave	CollgCr	2002	2002	Y	Y	Normal	237000
1280	60	7500	Pave	IDOTRR	1920	1950	Y	Y	Abnorml	68400
1281	67	9808	Pave	CollgCr	2002	2002	Y	Y	Normal	227000
1282	50	8049	Pave	Timber	1990	1990	Y	Y	Normal	180000
1283	61	8800	Pave	CollgCr	1977	2008	Y	Y	Normal	150500
1284	94	9400	Pave	Mitchel	1971	1971	Y	Y	Normal	139000
1285	50	9638	Pave	SWISU	1919	1990	Y	Y	Normal	169000
1286	50	6000	Pave	BrkSide	1939	1950	Y	Y	Normal	132500
1287	NA	9790	Pave	NWAmes	1963	1963	Y	Y	Normal	143000
1288	NA	36500	Pave	ClearCr	1964	1964	Y	N	Normal	190000
1289	40	5664	Pave	StoneBr	2000	2000	Y	Y	Normal	278000
1290	86	11065	Pave	NridgHt	2006	2006	Y	Y	Partial	281000
1291	NA	14112	Pave	NAmes	1964	1964	Y	Y	Normal	180500
1292	21	1680	Pave	BrDale	1972	1972	Y	Y	Normal	119500
1293	60	6600	Pave	OldTown	1892	1965	N	Y	Normal	107500
1294	78	10140	Pave	NWAmes	1976	1976	Y	Y	Normal	162900
1295	60	8172	Pave	Edwards	1955	1990	Y	N	Normal	115000
1296	70	8400	Pave	NAmes	1968	1968	Y	Y	Normal	138500
1297	80	8700	Pave	NAmes	1963	1963	Y	Y	Normal	155000
1298	35	3675	Pave	Edwards	2005	2006	Y	Y	Partial	140000
1299	313	63887	Pave	Edwards	2008	2008	Y	Y	Partial	160000
1300	75	7500	Pave	NAmes	1959	1994	Y	Y	Normal	154000
1301	NA	10762	Pave	Gilbert	1999	1999	Y	Y	Normal	225000
1302	NA	7500	Pave	Crawfor	1942	1950	Y	P	Normal	177500
1303	92	10120	Pave	NoRidge	1994	1994	Y	Y	Normal	290000
1304	73	8688	Pave	Somerst	2005	2005	Y	Y	Normal	232000
1305	32	3363	Pave	Edwards	2004	2004	Y	Y	Normal	130000
1306	108	13173	Pave	NridgHt	2006	2007	Y	Y	Normal	325000
1307	48	6955	Pave	NridgHt	2005	2006	Y	Y	Partial	202500
1308	60	8072	Pave	CollgCr	1994	1995	Y	Y	Normal	138000
1309	100	12000	Pave	OldTown	1948	2005	Y	Y	Normal	147000
1310	NA	7153	Pave	SawyerW	1991	1991	Y	Y	Normal	179200
1311	100	17500	Pave	Crawfor	1959	2002	Y	Y	Normal	335000
1312	68	8814	Pave	CollgCr	2005	2007	Y	Y	Partial	203000
1313	NA	9572	Pave	NoRidge	1990	1990	Y	Y	Normal	302000
1314	108	14774	Pave	NoRidge	1999	1999	Y	Y	Normal	333168
1315	60	8190	Pave	Edwards	1954	1954	Y	Y	Normal	119000
1316	85	11075	Pave	NAmes	1969	1969	Y	Y	Normal	206900
1317	61	10226	Pave	CollgCr	2008	2008	Y	Y	Normal	295493
1318	47	4230	Pave	Somerst	2006	2007	Y	Y	Partial	208900
1319	NA	14781	Pave	CollgCr	2001	2002	Y	Y	Normal	275000
1320	75	10215	Pave	Edwards	1954	1954	Y	Y	Normal	111000
1321	70	8400	Pave	NAmes	1957	1957	Y	Y	Normal	156500
1322	NA	6627	Pave	BrkSide	1949	1950	N	Y	Normal	72500
1323	107	10186	Pave	NoRidge	1992	1992	Y	Y	Normal	190000
1324	50	5330	Pave	BrkSide	1940	1950	Y	Y	Normal	82500
1325	75	9986	Pave	Somerst	2006	2007	Y	Y	Partial	147000
1326	40	3636	Pave	IDOTRR	1922	1950	N	N	Normal	55000
1327	70	4270	Pave	Edwards	1931	2006	Y	Y	Normal	79000
1328	60	6600	Pave	Mitchel	1982	2008	Y	Y	Normal	130500
1329	60	10440	Pave	OldTown	1920	1950	Y	Y	Normal	256000
1330	63	9084	Pave	Gilbert	1998	1998	Y	Y	Normal	176500
1331	85	10000	Pave	Somerst	2006	2006	Y	Y	Normal	227000
1332	55	10780	Pave	CollgCr	1976	1976	Y	Y	Normal	132500
1333	67	8877	Pave	Edwards	1938	1958	Y	Y	Normal	100000
1334	60	7200	Pave	IDOTRR	1938	1995	Y	Y	Normal	125500
1335	24	2368	Pave	BrDale	1970	1970	Y	Y	Normal	125000
1336	80	9650	Pave	NWAmes	1977	1977	Y	Y	Normal	167900
1337	87	9246	Pave	NWAmes	1973	1973	Y	Y	Normal	135000
1338	153	4118	Pave	OldTown	1941	1950	N	N	Normal	52500
1339	95	13450	Pave	CollgCr	2002	2002	Y	Y	Normal	200000
1340	120	9560	Pave	CollgCr	1972	1972	Y	Y	Normal	128500
1341	70	8294	Pave	NAmes	1971	1971	Y	Y	Normal	123000
1342	66	13695	Pave	SawyerW	2003	2004	Y	Y	Normal	155000
1343	NA	9375	Pave	CollgCr	2002	2002	Y	Y	Normal	228500
1344	57	7558	Pave	Crawfor	1928	1950	Y	Y	Normal	177000
1345	85	11103	Pave	CollgCr	2006	2006	Y	Y	Partial	155835
1346	50	6000	Pave	OldTown	1920	1950	Y	Y	Normal	108500
1347	NA	20781	Pave	NWAmes	1968	2003	Y	Y	Normal	262500
1348	93	15306	Pave	Timber	2006	2007	Y	Y	Partial	283463
1349	NA	16196	Pave	SawyerW	1998	1998	Y	Y	Normal	215000
1350	50	5250	Pave	OldTown	1872	1987	N	Y	Normal	122000
1351	91	11643	Pave	NAmes	1969	1969	Y	Y	Normal	200000
1352	70	9247	Pave	NAmes	1962	1962	Y	Y	Normal	171000
1353	50	6000	Pave	BrkSide	1937	2000	Y	N	Normal	134900
1354	56	14720	Pave	NoRidge	1995	1996	Y	Y	Normal	410000
1355	NA	10316	Pave	CollgCr	2000	2000	Y	Y	Normal	235000
1356	102	10192	Pave	NWAmes	1968	1992	Y	Y	Normal	170000
1357	NA	9477	Pave	NAmes	1966	1966	Y	Y	Normal	110000
1358	NA	12537	Pave	NAmes	1971	2008	Y	Y	Normal	149900
1359	NA	2117	Pave	Somerst	2000	2000	Y	Y	Normal	177500
1360	129	16737	Pave	NridgHt	2004	2005	Y	Y	Normal	315000
1361	51	9842	Pave	SWISU	1921	1998	Y	Y	Normal	189000
1362	124	16158	Pave	StoneBr	2005	2005	Y	Y	Normal	260000
1363	NA	12513	Pave	NAmes	1920	2007	Y	Y	Normal	104900
1364	73	8499	Pave	Gilbert	2006	2007	Y	Y	Partial	156932
1365	30	3180	Pave	Somerst	2005	2005	Y	Y	Abnorml	144152
1366	NA	7500	Pave	Somerst	2000	2000	Y	Y	Normal	216000
1367	68	9179	Pave	CollgCr	1999	1999	Y	Y	Abnorml	193000
1368	41	2665	Pave	MeadowV	1977	1977	Y	Y	Normal	127000
1369	NA	4435	Pave	CollgCr	2003	2004	Y	Y	Normal	144000
1370	48	10635	Pave	CollgCr	2003	2003	Y	Y	Normal	232000
1371	90	5400	Pave	OldTown	1920	1950	Y	Y	Normal	105000
1372	80	9600	Pave	NAmes	1955	1996	Y	Y	Normal	165500
1373	75	9750	Pave	CollgCr	1998	1998	Y	Y	Normal	274300
1374	NA	11400	Pave	NoRidge	2001	2002	Y	Y	Normal	466500
1375	85	10625	Pave	Somerst	2005	2005	Y	Y	Normal	250000
